#,Artista,Álbum,Año,Pista,Título Canción,BPM Base,Half-Time,Double-Time,Compás,Tonalidad (Key),Camelot,Duración
23,Bad Bunny,YHLQMDLG,2020,8,La Zona,94,47,188,4/4,C# Menor,12A,2:16
24,Bad Bunny,YHLQMDLG,2020,9,Que Malo (ft. Ñengo Flow),176,88,352,4/4,C# Mayor,3B,2:47
25,Bad Bunny,YHLQMDLG,2020,10,Vete,147,73.5,294,4/4,A♭ Mayor,4B,3:12
26,Bad Bunny,YHLQMDLG,2020,11,Ignorantes (ft. Sech),90,45,180,4/4,A♭ Mayor,4B,3:30
27,Bad Bunny,YHLQMDLG,2020,12,A Tu Merced,92,46,184,4/4,G Menor,6A,2:55
28,Bad Bunny,YHLQMDLG,2020,13,Una Vez (ft. Mora),92,46,184,4/4,A♭ Mayor,4B,3:52
29,Bad Bunny,YHLQMDLG,2020,14,"Safaera (ft. Jowell & Randy, Ñengo Flow)",96,48,192,4/4,D Mayor,10B,4:55
30,Bad Bunny,YHLQMDLG,2020,15,25/8,152,76,304,4/4,E Menor,9A,4:03
31,Bad Bunny,YHLQMDLG,2020,16,Está Cabrón Ser Yo (ft. Anuel AA),140,70,280,4/4,F# Menor,11A,3:47
32,Bad Bunny,YHLQMDLG,2020,17,Puesto Pa' Guerrial (ft. Myke Towers),140,70,280,4/4,C# Menor,12A,3:10
33,Bad Bunny,YHLQMDLG,2020,18,"P FKN R (ft. Kendo Kaponi, Arcángel)",140,70,280,4/4,G# Menor,1A,4:18
34,Bad Bunny,YHLQMDLG,2020,19,"Hablamos Mañana (ft. Duki, Pablo Chill-E)",150,75,300,4/4,B Menor,10A,4:00
35,Bad Bunny,YHLQMDLG,2020,20,<3,107,53.5,214,4/4,C# Mayor,3B,2:37
36,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,1,El Mundo Es Mío,135,67.5,270,4/4,D# Menor,2A,2:45
37,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,2,Te Mudaste,92,46,184,4/4,G Menor,6A,2:10
38,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,3,Hoy Cobré,140,70,280,4/4,C# Menor,12A,2:42
39,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,4,Maldita Pobreza,154,77,308,4/4,D Menor,7A,3:33
40,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,5,La Noche de Anoche (ft. Rosalía),82,41,164,4/4,G Mayor,9B,3:23
41,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,6,Te Deseo Lo Mejor,88,44,176,4/4,A Mayor,11B,2:19
42,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,7,Yo Visto Así,140,70,280,4/4,G# Menor,1A,3:11
43,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,8,Haciendo Que Me Ames,140,70,280,4/4,F# Menor,11A,3:37
44,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,9,Booker T,140,70,280,4/4,C Menor,5A,2:36
45,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,10,La Droga,140,70,280,4/4,F# Menor,11A,2:42
46,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,11,Dákiti (ft. Jhayco),110,55,220,4/4,E Mayor,12B,3:25
47,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,12,Trellas,125,62.5,250,4/4,A Mayor,11B,2:37
48,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,13,120,170,85,340,4/4,B Menor,10A,2:31
49,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,14,Antes Que Se Acabe,140,70,280,4/4,E Menor,9A,3:41
50,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,15,Cantares de Navidad,100,50,200,4/4,D Mayor,10B,3:19
51,Bad Bunny,Un Verano Sin Ti,2022,1,Moscow Mule,100,50,200,4/4,D Mayor,10B,4:05
52,Bad Bunny,Un Verano Sin Ti,2022,2,Después de la Playa,155,77.5,310,4/4,C# Mayor,3B,3:50
53,Bad Bunny,Un Verano Sin Ti,2022,3,Me Porto Bonito (ft. Chencho Corleone),92,46,184,4/4,B Menor,10A,2:58
54,Bad Bunny,Un Verano Sin Ti,2022,4,Tití Me Preguntó,106,53,212,4/4,F Menor,4A,4:03
55,Bad Bunny,Un Verano Sin Ti,2022,5,Un Ratito,93,46.5,186,4/4,B Menor,10A,2:56
56,Bad Bunny,Un Verano Sin Ti,2022,6,Yo No Soy Celoso,142,71,284,4/4,C Mayor,8B,3:50
57,Bad Bunny,Un Verano Sin Ti,2022,7,Tarot (ft. Jhayco),114,57,228,4/4,F# Menor,11A,3:57
58,Bad Bunny,Un Verano Sin Ti,2022,8,Neverita,122,61,244,4/4,G Menor,6A,3:40
59,Bad Bunny,Un Verano Sin Ti,2022,9,La Corriente (ft. Tony Dize),98,49,196,4/4,C# Menor,12A,3:18
60,Bad Bunny,Un Verano Sin Ti,2022,10,Efecto,98,49,196,4/4,G Menor,6A,3:33
61,Bad Bunny,Un Verano Sin Ti,2022,11,Party (ft. Rauw Alejandro),97,48.5,194,4/4,D Menor,7A,3:47
62,Bad Bunny,Un Verano Sin Ti,2022,12,Aguacero,94,47,188,4/4,F# Menor,11A,3:30
63,Bad Bunny,Un Verano Sin Ti,2022,13,Enséñame a Bailar,105,52.5,210,4/4,A♭ Mayor,4B,3:13
64,Bad Bunny,Un Verano Sin Ti,2022,14,Ojitos Lindos (ft. Bomba Estéreo),79,39.5,158,4/4,A Menor,8A,4:18
65,Bad Bunny,Un Verano Sin Ti,2022,15,Dos Mil 16,130,65,260,4/4,B Menor,10A,3:28
66,Bad Bunny,Un Verano Sin Ti,2022,16,El Apagón,118,59,236,4/4,C Menor,5A,3:21
67,Bad Bunny,Un Verano Sin Ti,2022,17,Otro Atardecer (ft. The Marías),108,54,216,4/4,D Mayor,10B,4:04
68,Bad Bunny,Un Verano Sin Ti,2022,18,Un Coco,152,76,304,4/4,A♭ Mayor,4B,3:16
69,Bad Bunny,Un Verano Sin Ti,2022,19,Andrea (ft. Buscabulla),103,51.5,206,4/4,C# Menor,12A,5:39
70,Bad Bunny,Un Verano Sin Ti,2022,20,Me Fui de Vacaciones,85,42.5,170,4/4,A Major,11B,3:00
71,Bad Bunny,Un Verano Sin Ti,2022,21,Un Verano Sin Ti,100,50,200,4/4,C Menor,5A,2:28
72,Bad Bunny,Un Verano Sin Ti,2022,22,Agosto,115,57.5,230,4/4,C# Menor,12A,2:19
73,Bad Bunny,Un Verano Sin Ti,2022,23,Callaíta (ft. Tainy),176,88,352,4/4,D Mayor,10B,4:10
74,Daddy Yankee,Barrio Fino,2004,1,Intro,95,47.5,190,4/4,D Menor,7A,1:19
75,Daddy Yankee,Barrio Fino,2004,2,King Daddy,95,47.5,190,4/4,G# Menor,1A,2:31
76,Daddy Yankee,Barrio Fino,2004,3,Dale Caliente,95,47.5,190,4/4,C# Menor,12A,3:15
77,Daddy Yankee,Barrio Fino,2004,4,No Me Dejes Solo (ft. Wisin & Yandel),96,48,192,4/4,G# Menor,1A,2:50
78,Daddy Yankee,Barrio Fino,2004,5,Gasolina,96,48,192,4/4,F Menor,4A,3:12
79,Daddy Yankee,Barrio Fino,2004,6,Like You,96,48,192,4/4,G# Menor,1A,3:22
80,Daddy Yankee,Barrio Fino,2004,7,El Muro,95,47.5,190,4/4,A# Menor,3A,2:42
81,Daddy Yankee,Barrio Fino,2004,8,"Lo Que Pasó, Pasó",96,48,192,4/4,F Menor,4A,3:30
82,Daddy Yankee,Barrio Fino,2004,9,Tu Príncipe (ft. Zion & Lennox),94,47,188,4/4,G Menor,6A,3:25
83,Daddy Yankee,Barrio Fino,2004,10,Cuéntame,95,47.5,190,4/4,F# Menor,11A,2:35
84,Daddy Yankee,Barrio Fino,2004,11,Santifica Tus Escapularios,96,48,192,4/4,C# Menor,12A,3:19
85,Daddy Yankee,Barrio Fino,2004,12,Sabor a Melao (ft. Andy Montañez),105,52.5,210,4/4,C Menor,5A,3:43
86,Daddy Yankee,Barrio Fino,2004,13,El Empuje,96,48,192,4/4,D# Menor,2A,3:23
87,Daddy Yankee,Barrio Fino,2004,14,¿Qué Vas A Hacer?,95,47.5,190,4/4,A# Menor,3A,3:19
88,Daddy Yankee,Barrio Fino,2004,15,Salud y Vida,90,45,180,4/4,F Menor,4A,3:26
89,Daddy Yankee,Barrio Fino,2004,16,Corazones,95,47.5,190,4/4,G# Menor,1A,3:29
90,Daddy Yankee,Barrio Fino,2004,17,Golpe de Estado,96,48,192,4/4,C# Menor,12A,3:06
91,Daddy Yankee,Legendaddy,2022,1,Campeón,95,47.5,190,4/4,F# Menor,11A,3:14
92,Daddy Yankee,Legendaddy,2022,2,Remix,90,45,180,4/4,F Menor,4A,2:43
93,Daddy Yankee,Legendaddy,2022,3,Pasatiempo (ft. Myke Towers),93,46.5,186,4/4,C# Menor,12A,2:19
94,Daddy Yankee,Legendaddy,2022,4,Rumbatón,100,50,200,4/4,D Menor,7A,4:08
95,Daddy Yankee,Legendaddy,2022,5,X Última Vez (ft. Bad Bunny),90,45,180,4/4,G Mayor,9B,3:12
96,Daddy Yankee,Legendaddy,2022,6,Para Siempre (ft. Sech),88,44,176,4/4,F# Menor,11A,3:30
97,Daddy Yankee,Legendaddy,2022,7,Uno Quitao y Otro Puesto,95,47.5,190,4/4,A# Menor,3A,2:24
98,Daddy Yankee,Legendaddy,2022,8,Truquito,95,47.5,190,4/4,C# Menor,12A,0:26
99,Daddy Yankee,Legendaddy,2022,9,El Abusador del Abusador,95,47.5,190,4/4,C Menor,5A,2:41
100,Daddy Yankee,Legendaddy,2022,10,Enchuletiao,95,47.5,190,4/4,C# Menor,12A,2:59
101,Daddy Yankee,Legendaddy,2022,11,"Agua (ft. Rauw Alejandro, Nile Rodgers)",118,59,236,4/4,G# Menor,1A,3:24
102,Daddy Yankee,Legendaddy,2022,12,"Zona del Perreo (ft. Natti Natasha, Becky G)",95,47.5,190,4/4,F# Menor,11A,3:11
103,Daddy Yankee,Legendaddy,2022,13,Hot (ft. Pitbull),126,63,252,4/4,F# Menor,11A,2:34
104,Daddy Yankee,Legendaddy,2022,14,La Ola,90,45,180,4/4,G# Menor,1A,3:11
105,Daddy Yankee,Legendaddy,2022,15,"Bombón (ft. El Alfa, Lil Jon)",122,61,244,4/4,F Menor,4A,3:02
106,Daddy Yankee,Legendaddy,2022,16,El Rey de las Imperfecciones,140,70,280,4/4,D Menor,7A,2:36
107,Daddy Yankee,Legendaddy,2022,17,Impuesto y Caducao,95,47.5,190,4/4,C# Menor,12A,3:41
108,Daddy Yankee,Legendaddy,2022,18,Bloke,94,47,188,4/4,A# Menor,3A,2:44
109,Karol G,KG0516,2021,1,Déjalos Que Miren,95,47.5,190,4/4,G# Menor,1A,2:47
110,Karol G,KG0516,2021,2,El Makinon (ft. Mariah Angeliq),97,48.5,194,4/4,A# Menor,3A,3:29
111,Karol G,KG0516,2021,3,Bichota,164,82,328,4/4,F# Menor,11A,2:58
112,Karol G,KG0516,2021,4,"Viajando Ando (ft. Ludacris, J Balvin)",94,47,188,4/4,F Menor,4A,3:37
113,Karol G,KG0516,2021,5,"Ay, DiOs Mío!",90,45,180,4/4,C# Menor,12A,3:09
114,Karol G,KG0516,2021,6,DVD,92,46,184,4/4,G# Menor,1A,3:18
115,Karol G,KG0516,2021,7,200 Copas,128,64,256,4/4,C# Menor,12A,3:37
116,Karol G,KG0516,2021,8,Tusa (ft. Nicki Minaj),101,50.5,202,4/4,B Menor,10A,3:20
117,Karol G,KG0516,2021,9,El Barco,80,40,160,4/4,D Menor,7A,3:23
118,Karol G,KG0516,2021,10,"Location (ft. Anuel AA, J Balvin)",116,58,232,4/4,F# Menor,11A,4:23
119,Karol G,KG0516,2021,11,Gato Malo (ft. Nathy Peluso),135,67.5,270,4/4,A# Menor,3A,3:45
120,Karol G,KG0516,2021,12,Odisea (ft. Ozuna),95,47.5,190,4/4,F Menor,4A,3:43
121,Karol G,KG0516,2021,13,"Leyendas (ft. Wisin & Yandel, Nicky Jam, Ivy Queen, Zion)",95,47.5,190,4/4,C# Menor,12A,5:55
122,Karol G,Mañana Será Bonito,2023,1,Mientras Me Curo del Cora,92,46,184,4/4,F# Mayor,2B,2:44
123,Karol G,Mañana Será Bonito,2023,2,X Si Volvemos (ft. Romeo Santos),90,45,180,4/4,A# Menor,3A,3:20
124,Karol G,Mañana Será Bonito,2023,3,Pero Tú (ft. Quevedo),90,45,180,4/4,F Menor,4A,3:03
125,Karol G,Mañana Será Bonito,2023,4,Besties,94,47,188,4/4,G# Menor,1A,2:58
126,Karol G,Mañana Será Bonito,2023,5,Gucci Los Paños,90,45,180,4/4,C# Mayor,3B,3:06
127,Karol G,Mañana Será Bonito,2023,6,TQG (ft. Shakira),180,90,360,4/4,E Menor,9A,3:17
128,Karol G,Mañana Será Bonito,2023,7,Tus Gafitas,160,80,320,4/4,A Mayor,11B,2:48
129,Karol G,Mañana Será Bonito,2023,8,"Ojos Ferrari (ft. Justin Quiles, Ángel Dior)",122,61,244,4/4,F# Menor,11A,3:00
130,Karol G,Mañana Será Bonito,2023,9,Mercurio,140,70,280,4/4,B Menor,10A,2:40
131,Karol G,Mañana Será Bonito,2023,10,Gatúbela (ft. Maldy),95,47.5,190,4/4,C# Menor,12A,3:28
132,Karol G,Mañana Será Bonito,2023,11,"Kármika (ft. Bad Gyal, Sean Paul)",97,48.5,194,4/4,F# Mayor,2B,3:58
133,Karol G,Mañana Será Bonito,2023,12,Provenza,111,55.5,222,4/4,F# Menor,11A,3:30
134,Karol G,Mañana Será Bonito,2023,13,Carolina,94,47,188,4/4,A# Menor,3A,2:41
135,Karol G,Mañana Será Bonito,2023,14,Dañamos la Amistad (ft. Sech),92,46,184,4/4,F# Menor,11A,2:54
136,Karol G,Mañana Será Bonito,2023,15,Amargura,96,48,192,4/4,C# Menor,12A,2:50
137,Karol G,Mañana Será Bonito,2023,16,Mañana Será Bonito (ft. Carla Morrison),105,52.5,210,4/4,E Mayor,12B,3:30
138,J Balvin,Vibras,2018,1,Vibras,95,47.5,190,4/4,F# Menor,11A,1:06
139,J Balvin,Vibras,2018,2,Mi Gente (ft. Willy William),105,52.5,210,4/4,B Menor,10A,3:05
140,J Balvin,Vibras,2018,3,Ambiente,96,48,192,4/4,G# Menor,1A,4:08
141,J Balvin,Vibras,2018,4,Cuando Tú Quieras,94,47,188,4/4,C# Menor,12A,3:25
142,J Balvin,Vibras,2018,5,No Es Justo (ft. Zion & Lennox),88,44,176,4/4,D Mayor,10B,4:11
143,J Balvin,Vibras,2018,6,Ahora,95,47.5,190,4/4,F# Menor,11A,4:15
144,J Balvin,Vibras,2018,7,Ponle (ft. Farruko),94,47,188,4/4,C# Menor,12A,2:44
145,J Balvin,Vibras,2018,8,En Mí (Interlude),90,45,180,4/4,A# Menor,3A,0:54
146,J Balvin,Vibras,2018,9,En Mí,90,45,180,4/4,A# Menor,3A,3:16
147,J Balvin,Vibras,2018,10,Peligrosa (ft. Wisin & Yandel),96,48,192,4/4,A# Menor,3A,3:22
148,J Balvin,Vibras,2018,11,Noches Pasadas,92,46,184,4/4,G# Menor,1A,3:42
149,J Balvin,Vibras,2018,12,Tu Verdad,94,47,188,4/4,F# Menor,11A,2:54
150,J Balvin,Vibras,2018,13,Dónde Estarás,96,48,192,4/4,F Menor,4A,3:12
151,J Balvin,Vibras,2018,14,"Machika (ft. Jeon, Anitta)",100,50,200,4/4,C# Menor,12A,3:10
152,J Balvin,Colores,2020,1,Amarillo,130,65,260,4/4,A Menor,8A,2:37
153,J Balvin,Colores,2020,2,Azul,94,47,188,4/4,G Mayor,9B,3:25
154,J Balvin,Colores,2020,3,Rojo,86,43,172,4/4,D Menor,7A,2:30
155,J Balvin,Colores,2020,4,Rosa,96,48,192,4/4,C# Menor,12A,2:36
156,J Balvin,Colores,2020,5,Morado,98,49,196,4/4,F# Menor,11A,3:20
157,J Balvin,Colores,2020,6,Verde (ft. Sky Rompiendo),128,64,256,4/4,G# Menor,1A,2:22
158,J Balvin,Colores,2020,7,Negro,95,47.5,190,4/4,A# Menor,3A,3:02
159,J Balvin,Colores,2020,8,Gris,94,47,188,4/4,C# Menor,12A,2:56
160,J Balvin,Colores,2020,9,Blanco,90,45,180,4/4,D# Menor,2A,2:25
161,J Balvin,Colores,2020,10,Arcoíris (ft. Mr Eazi),100,50,200,4/4,F Menor,4A,3:06
162,Rauw Alejandro,Vice Versa,2021,1,2/Catorce (ft. Mr. Naisgai),90,45,180,4/4,C# Menor,12A,3:23
163,Rauw Alejandro,Vice Versa,2021,2,Todo de Ti,128,64,256,4/4,D# Menor,2A,3:19
164,Rauw Alejandro,Vice Versa,2021,3,Sexo Virtual,128,64,256,4/4,G# Menor,1A,3:28
165,Rauw Alejandro,Vice Versa,2021,4,Nubes,126,63,252,4/4,A# Menor,3A,2:58
166,Rauw Alejandro,Vice Versa,2021,5,Desesperados (ft. Chencho Corleone),90,45,180,4/4,C# Menor,12A,3:44
167,Rauw Alejandro,Vice Versa,2021,6,La Old Skul,105,52.5,210,4/4,A Menor,8A,3:34
168,Rauw Alejandro,Vice Versa,2021,7,Aquel Nap ZzZ,80,40,160,4/4,F# Mayor,2B,4:55
169,Rauw Alejandro,Vice Versa,2021,8,Cúrame,85,42.5,170,4/4,G# Menor,1A,2:44
170,Rauw Alejandro,Vice Versa,2021,9,Cosa Guapa,128,64,256,4/4,C# Menor,12A,4:15
171,Rauw Alejandro,Vice Versa,2021,10,Cambia el Paso (ft. Jennifer Lopez),100,50,200,4/4,C# Menor,12A,4:05
172,Rauw Alejandro,Vice Versa,2021,11,¿Cuándo Fue?,130,65,260,4/4,A Menor,8A,2:48
173,Rauw Alejandro,Saturno,2022,1,Saturno,126,63,252,4/4,C# Menor,12A,1:47
174,Rauw Alejandro,Saturno,2022,2,Punto 40 (ft. Baby Rasta),128,64,256,4/4,A# Menor,3A,3:10
175,Rauw Alejandro,Saturno,2022,3,Más de Una Vez,124,62,248,4/4,F# Menor,11A,4:05
176,Rauw Alejandro,Saturno,2022,4,Lejos del Cielo,126,63,252,4/4,G# Menor,1A,3:28
177,Rauw Alejandro,Saturno,2022,5,Dejau',95,47.5,190,4/4,A# Menor,3A,4:02
178,Rauw Alejandro,Saturno,2022,6,Gatas (ft. Chris Palace),126,63,252,4/4,D# Menor,2A,3:27
179,Rauw Alejandro,Saturno,2022,7,"Lokera (ft. Lyanno, Brray)",102,51,204,4/4,B Menor,10A,3:15
180,Rauw Alejandro,Saturno,2022,8,Ron Cola (ft. Súbelo NEO),120,60,240,4/4,C# Menor,12A,3:06
181,Rauw Alejandro,Saturno,2022,9,Dime Quién????,145,72.5,290,4/4,G# Menor,1A,2:44
182,Rauw Alejandro,Saturno,2022,10,Cazadores (ft. Arcángel),126,63,252,4/4,C# Menor,12A,3:58
183,Rauw Alejandro,Saturno,2022,11,Corazón Despeinado,126,63,252,4/4,F# Menor,11A,3:27
184,Rauw Alejandro,Saturno,2022,12,Panties y Brasieres (ft. Daddy Yankee),95,47.5,190,4/4,A# Menor,3A,3:18
185,Don Omar,The Last Don,2003,1,Intro,95,47.5,190,4/4,C# Menor,12A,2:38
186,Don Omar,The Last Don,2003,2,Dale Don Dale (ft. Glory),95,47.5,190,4/4,D Mayor,10B,3:32
187,Don Omar,The Last Don,2003,3,Cuéntale,96,48,192,4/4,C# Menor,12A,4:21
188,Don Omar,The Last Don,2003,4,Dile,95,47.5,190,4/4,D# Menor,2A,3:25
189,Don Omar,The Last Don,2003,5,Intocable,95,47.5,190,4/4,F# Menor,11A,2:46
190,Don Omar,The Last Don,2003,6,Pobre Diabla,94,47,188,4/4,A# Menor,3A,4:12
191,Don Omar,The Last Don,2003,7,Aunque Te Fuiste,92,46,184,4/4,G# Menor,1A,4:03
192,Don Omar,The Last Don,2003,8,La Noche Está Buena (ft. Daddy Yankee),96,48,192,4/4,F# Menor,11A,2:24
193,Don Omar,The Last Don,2003,9,Provocándome,95,47.5,190,4/4,C# Menor,12A,2:12
194,Don Omar,The Last Don,2003,10,Quién La Vio Llorar,90,45,180,4/4,C Menor,5A,3:05
195,Don Omar,King of Kings,2006,1,Predica,90,45,180,4/4,D Menor,7A,1:41
196,Don Omar,King of Kings,2006,2,Reportense,95,47.5,190,4/4,A# Menor,3A,4:30
197,Don Omar,King of Kings,2006,3,Ojitos Chiquitos,95,47.5,190,4/4,C# Menor,12A,3:49
198,Don Omar,King of Kings,2006,4,Conteo (ft. Juelz Santana),96,48,192,4/4,F# Menor,11A,4:00
199,Don Omar,King of Kings,2006,5,Salió El Sol,96,48,192,4/4,F# Menor,11A,5:15
200,Don Omar,King of Kings,2006,6,Belly Danza (ft. Beenie Man),100,50,200,4/4,C# Menor,12A,4:05
201,Don Omar,King of Kings,2006,7,Angelito,95,47.5,190,4/4,G# Menor,1A,4:44
202,Don Omar,King of Kings,2006,8,Jangueo,95,47.5,190,4/4,F# Menor,11A,3:53
203,Don Omar,King of Kings,2006,9,Infieles,92,46,184,4/4,D# Menor,2A,4:24
204,Don Omar,King of Kings,2006,10,Ayer La Vi,90,45,180,4/4,A# Menor,3A,4:12
205,Don Omar,Meet the Orphans,2010,1,Danza Kuduro (ft. Lucenzo),130,65,260,4/4,C Mayor,8B,3:18
206,Don Omar,Meet the Orphans,2010,2,Taboo,130,65,260,4/4,D Menor,7A,4:52
207,Don Omar,MTO2: New Generation,2012,1,Hasta Que Salga El Sol,128,64,256,4/4,G Mayor,9B,4:04
208,Don Omar,MTO2: New Generation,2012,2,Dutty Love (ft. Natti Natasha),128,64,256,4/4,F# Menor,11A,4:45
209,Don Omar,MTO2: New Generation,2012,3,Zumba,128,64,256,4/4,A Menor,8A,4:23
210,Wisin & Yandel,Pa'l Mundo,2005,1,Dale Más Gasolina,95,47.5,190,4/4,F# Menor,11A,3:17
211,Wisin & Yandel,Pa'l Mundo,2005,2,Calle Callejero,95,47.5,190,4/4,G# Menor,1A,2:56
212,Wisin & Yandel,Pa'l Mundo,2005,3,Mayor Que Yo (Parte 2),95,47.5,190,4/4,C# Menor,12A,3:47
213,Wisin & Yandel,Pa'l Mundo,2005,4,Rakata,96,48,192,4/4,C# Mayor,3B,2:52
214,Wisin & Yandel,Pa'l Mundo,2005,5,Sensación,95,47.5,190,4/4,A# Menor,3A,2:34
215,Wisin & Yandel,Pa'l Mundo,2005,6,Noche de Sexo (ft. Romeo Santos),95,47.5,190,4/4,C# Menor,12A,3:25
216,Wisin & Yandel,Pa'l Mundo,2005,7,Mírala Bien,96,48,192,4/4,D# Menor,2A,2:36
217,Wisin & Yandel,Pa'l Mundo,2005,8,La Barría (ft. Héctor el Father),95,47.5,190,4/4,F Menor,4A,2:55
218,Wisin & Yandel,Pa'l Mundo,2005,9,Llame Pa' Verte,95,47.5,190,4/4,G# Menor,1A,3:14
219,Wisin & Yandel,Pa'l Mundo,2005,10,Pam Pam,95,47.5,190,4/4,B♭ Mayor,6B,3:47
220,Wisin & Yandel,Los Extraterrestres,2007,1,Ahora Es,95,47.5,190,4/4,G# Menor,1A,3:26
221,Wisin & Yandel,Los Extraterrestres,2007,2,Aprovéchalo (ft. 50 Cent),95,47.5,190,4/4,C# Menor,12A,2:49
222,Wisin & Yandel,Los Extraterrestres,2007,3,Pidiendo Calor,96,48,192,4/4,F# Menor,11A,3:11
223,Wisin & Yandel,Los Extraterrestres,2007,4,Control (ft. Eve),95,47.5,190,4/4,A# Menor,3A,3:44
224,Wisin & Yandel,Los Extraterrestres,2007,5,Una Noche Más,92,46,184,4/4,D# Menor,2A,4:28
225,Wisin & Yandel,Los Extraterrestres,2007,6,Dime Quienes Son,95,47.5,190,4/4,C# Menor,12A,3:52
226,Wisin & Yandel,Los Extraterrestres,2007,7,Me Estás Tentando,116,58,232,4/4,G# Menor,1A,3:48
227,Wisin & Yandel,Los Extraterrestres,2007,8,Sexy Movimiento,118,59,236,4/4,F# Menor,11A,3:29
228,Wisin & Yandel,Los Extraterrestres,2007,9,Ya Me Voy,90,45,180,4/4,C Menor,5A,3:45
229,Wisin & Yandel,Los Extraterrestres,2007,10,Quisiera Saber,92,46,184,4/4,A♭ Mayor,4B,4:04
230,Wisin & Yandel,La Revolución,2009,1,La Revolución,95,47.5,190,4/4,C# Menor,12A,4:10
231,Wisin & Yandel,La Revolución,2009,2,Quítame El Dolor,95,47.5,190,4/4,G# Menor,1A,3:19
232,Wisin & Yandel,La Revolución,2009,3,Mujeres En El Club (ft. 50 Cent),95,47.5,190,4/4,D# Menor,2A,4:00
233,Wisin & Yandel,La Revolución,2009,4,Gracias a Ti,128,64,256,4/4,B Mayor,1B,3:52
234,Wisin & Yandel,La Revolución,2009,5,Abusadora,128,64,256,4/4,A# Menor,3A,2:57
235,Wisin & Yandel,La Revolución,2009,6,Ella Me Llama,95,47.5,190,4/4,F# Menor,11A,4:14
236,Wisin & Yandel,La Revolución,2009,7,Besos Mojados,92,46,184,4/4,C# Menor,12A,4:22
